resume_id,status,sections_detected,fields_extracted,fields_missing,num_experience_entries,num_project_entries,num_certification_entries,notes
Resume_25.pdf,parsed,"certifications, education, experience, personal_info, skills","personal_information, education, experience, skills, certifications, career_history",projects,3,0,3,
Resume_26.pdf,parsed,none,none,"personal_information, education, experience, skills, projects, certifications, career_history",0,0,0,
Resume_27.pdf,parsed,"certifications, experience, personal_info, skills","personal_information, experience, skills, certifications, career_history","education, projects",1,0,5,
Resume_28.pdf,parsed,"experience, personal_info, skills","personal_information, experience, skills, career_history","education, projects, certifications",2,0,0,
Resume_29.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,4,14,
Resume_30.pdf,parsed,"education, experience, personal_info","personal_information, education, experience, career_history","skills, projects, certifications",1,0,0,
Resume_31.pdf,parsed,"certifications, education, experience, personal_info, skills","personal_information, education, experience, skills, certifications, career_history",projects,2,0,3,
Resume_32.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,5,6,4,
resume_01.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,1,5,
resume_02.pdf,parsed,"experience, personal_info, skills","personal_information, experience, skills, career_history","education, projects, certifications",1,0,0,
resume_03.pdf,parsed,"education, experience, personal_info","personal_information, education, experience, career_history","skills, projects, certifications",9,0,0,
resume_04.pdf,parsed,"certifications, education, experience, personal_info, skills","personal_information, education, experience, certifications, career_history","skills, projects",3,0,5,
resume_05.pdf,parsed,"certifications, education, personal_info, projects","personal_information, education, projects, certifications","experience, skills, career_history",0,6,9,
resume_06.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,1,9,
resume_07.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,1,25,
resume_08.pdf,parsed,"education, personal_info, skills","personal_information, education, skills","experience, projects, certifications, career_history",0,0,0,
resume_09.pdf,parsed,"personal_info, skills","personal_information, skills","education, experience, projects, certifications, career_history",0,0,0,
resume_10.pdf,parsed,"education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, career_history",certifications,1,6,0,
resume_11.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,2,1,17,
resume_12.pdf,parsed,"education, experience, personal_info, skills","personal_information, education, experience, skills, career_history","projects, certifications",2,0,0,
resume_13.pdf,parsed,"education, personal_info, projects, skills","personal_information, education, skills, projects","experience, certifications, career_history",0,1,0,
resume_14.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,1,7,
resume_15.pdf,parsed,"experience, personal_info, projects, skills","personal_information, experience, skills, projects, career_history","education, certifications",2,1,0,
resume_16.pdf,parsed,"education, experience, personal_info, projects","personal_information, education, experience, projects, career_history","skills, certifications",1,21,0,
resume_17.pdf,parsed,"education, experience, personal_info, skills","personal_information, education, experience, skills, career_history","projects, certifications",1,0,0,
resume_18.pdf,parsed,"education, experience, personal_info, skills","personal_information, education, experience, skills, career_history","projects, certifications",2,0,0,
resume_19.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,5,4,2,
resume_20.pdf,parsed,"certifications, personal_info, projects, skills","personal_information, skills, projects, certifications","education, experience, career_history",0,4,2,
resume_21.pdf,parsed,"certifications, education, personal_info, projects","personal_information, education, projects, certifications","experience, skills, career_history",0,9,23,
resume_22.pdf,parsed,"certifications, education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, certifications, career_history",none,1,1,4,
resume_23.pdf,parsed,"education, experience, personal_info, projects, skills","personal_information, education, experience, skills, projects, career_history",certifications,4,5,0,
resume_24.pdf,parsed,"education, personal_info, projects, skills","personal_information, education, skills, projects","experience, certifications, career_history",0,1,0,
